Id;region;vaccine;year;coverage
1;Global;bcg;1980;15
2;Global;dtp1;1980;30
3;Global;dtp3;1980;20
4;Global;mcv1;1980;16
5;Global;pol3;1980;21
6;Global;rcv1;1980;3
7;Global;bcg;1981;21
8;Global;dtp1;1981;35
9;Global;dtp3;1981;23
10;Global;mcv1;1981;19
11;Global;pol3;1981;23
12;Global;rcv1;1981;3
13;Global;bcg;1982;23
14;Global;dtp1;1982;38
15;Global;dtp3;1982;25
16;Global;mcv1;1982;20
17;Global;pol3;1982;41
18;Global;rcv1;1982;4
19;Global;bcg;1983;36
20;Global;dtp1;1983;56
21;Global;dtp3;1983;38
22;Global;mcv1;1983;37
23;Global;pol3;1983;43
24;Global;rcv1;1983;4
25;Global;bcg;1984;44
26;Global;dtp1;1984;62
27;Global;dtp3;1984;45
28;Global;mcv1;1984;41
29;Global;pol3;1984;47
30;Global;rcv1;1984;5
31;Global;bcg;1985;48
32;Global;dtp1;1985;67
33;Global;dtp3;1985;49
34;Global;hepb3;1985;0
35;Global;mcv1;1985;47
36;Global;pol3;1985;52
37;Global;rcv1;1985;5
38;Global;bcg;1986;52
39;Global;dtp1;1986;70
40;Global;dtp3;1986;52
41;Global;hepb3;1986;0
42;Global;mcv1;1986;47
43;Global;pol3;1986;51
44;Global;rcv1;1986;5
45;Global;bcg;1987;61
46;Global;dtp1;1987;74
47;Global;dtp3;1987;56
48;Global;hepb3;1987;0
49;Global;mcv1;1987;54
50;Global;pol3;1987;57
51;Global;rcv1;1987;5
52;Global;bcg;1988;67
53;Global;dtp1;1988;79
54;Global;dtp3;1988;64
55;Global;hepb3;1988;0
56;Global;mcv1;1988;63
57;Global;pol3;1988;65
58;Global;rcv1;1988;6
59;Global;bcg;1989;70
60;Global;dtp1;1989;83
61;Global;dtp3;1989;68
62;Global;hepb3;1989;0
63;Global;mcv1;1989;68
64;Global;pol3;1989;70
65;Global;rcv1;1989;7
66;Global;bcg;1990;81
67;Global;dtp1;1990;88
68;Global;dtp3;1990;75
69;Global;hepb3;1990;1
70;Global;hib3;1990;0
71;Global;mcv1;1990;73
72;Global;pol3;1990;75
73;Global;rcv1;1990;8
74;Global;bcg;1991;78
75;Global;dtp1;1991;86
76;Global;dtp3;1991;71
77;Global;hepb3;1991;1
78;Global;hib3;1991;0
79;Global;mcv1;1991;69
80;Global;pol3;1991;72
81;Global;rcv1;1991;9
82;Global;bcg;1992;78
83;Global;dtp1;1992;85
84;Global;dtp3;1992;70
85;Global;hepb3;1992;3
86;Global;hib3;1992;1
87;Global;mcv1;1992;69
88;Global;pol3;1992;70
89;Global;rcv1;1992;9
90;Global;bcg;1993;79
91;Global;dtp1;1993;85
92;Global;dtp3;1993;70
93;Global;hepb3;1993;4
94;Global;hib3;1993;1
95;Global;mcv1;1993;70
96;Global;pol3;1993;70
97;Global;rcv1;1993;10
98;Global;bcg;1994;80
99;Global;dtp1;1994;86
100;Global;dtp3;1994;73
101;Global;hepb3;1994;8
102;Global;hib3;1994;1
103;Global;mcv1;1994;71
104;Global;pol3;1994;73
105;Global;rcv1;1994;10
106;Global;bcg;1995;80
107;Global;dtp1;1995;87
108;Global;dtp3;1995;73
109;Global;hepb3;1995;11
110;Global;hib3;1995;4
111;Global;mcv1;1995;73
112;Global;pol3;1995;74
113;Global;rcv1;1995;12
114;Global;bcg;1996;80
115;Global;dtp1;1996;86
116;Global;dtp3;1996;72
117;Global;hepb3;1996;13
118;Global;hib3;1996;5
119;Global;mcv1;1996;73
120;Global;pol3;1996;74
121;Global;rcv1;1996;12
122;Global;bcg;1997;78
123;Global;dtp1;1997;86
124;Global;dtp3;1997;71
125;Global;hepb3;1997;15
126;Global;hib3;1997;5
127;Global;mcv1;1997;71
128;Global;pol3;1997;74
129;Global;rcv1;1997;12
130;Global;yfv;1997;3
131;Global;bcg;1998;79
132;Global;dtp1;1998;84
133;Global;dtp3;1998;72
134;Global;hepb3;1998;15
135;Global;hib3;1998;7
136;Global;mcv1;1998;71
137;Global;pol3;1998;73
138;Global;rcv1;1998;15
139;Global;yfv;1998;9
140;Global;bcg;1999;80
141;Global;dtp1;1999;83
142;Global;dtp3;1999;72
143;Global;hepb3;1999;18
144;Global;hib3;1999;8
145;Global;mcv1;1999;71
146;Global;pol3;1999;73
147;Global;rcv1;1999;17
148;Global;yfv;1999;10
149;Global;bcg;2000;80
150;Global;dtp1;2000;83
151;Global;dtp3;2000;72
152;Global;hepb3;2000;30
153;Global;hepbb;2000;5
154;Global;hib3;2000;13
155;Global;mcv1;2000;72
156;Global;mcv2;2000;18
157;Global;pol3;2000;73
158;Global;rcv1;2000;21
159;Global;yfv;2000;11
160;Global;bcg;2001;80
161;Global;dtp1;2001;83
162;Global;dtp3;2001;73
163;Global;hepb3;2001;32
164;Global;hepbb;2001;6
165;Global;hib3;2001;14
166;Global;mcv1;2001;73
167;Global;mcv2;2001;19
168;Global;pol3;2001;73
169;Global;rcv1;2001;22
170;Global;yfv;2001;13
171;Global;bcg;2002;80
172;Global;dtp1;2002;83
173;Global;dtp3;2002;73
174;Global;hepb3;2002;38
175;Global;hepbb;2002;7
176;Global;hib3;2002;17
177;Global;mcv1;2002;72
178;Global;mcv2;2002;20
179;Global;pol3;2002;74
180;Global;rcv1;2002;22
181;Global;yfv;2002;12
182;Global;bcg;2003;81
183;Global;dtp1;2003;84
184;Global;dtp3;2003;74
185;Global;hepb3;2003;44
186;Global;hepbb;2003;9
187;Global;hib3;2003;18
188;Global;mcv1;2003;74
189;Global;mcv2;2003;21
190;Global;pol3;2003;75
191;Global;rcv1;2003;22
192;Global;yfv;2003;17
193;Global;bcg;2004;83
194;Global;dtp1;2004;85
195;Global;dtp3;2004;76
196;Global;hepb3;2004;49
197;Global;hepbb;2004;21
198;Global;hib3;2004;19
199;Global;mcv1;2004;76
200;Global;mcv2;2004;22
201;Global;pol3;2004;76
